producto_id,stock,precio
1,,286
2,,297
3,,301
4,,310
5,,757
6,,747
7,,903
8,,1878
9,,388
10,,294
11,,1096
12,,1784
13,,54
14,,314
15,,930
16,,1185
17,,1780
18,,391
19,,1807
20,,1855
21,,31
22,,1592
23,,312
24,,1684
25,,1495
26,,1520
27,,829
28,,1289
29,,1410
30,,965
31,,1612
32,,1480
33,,243
34,,384
35,,957
36,,744
37,,1237
38,,60
39,,1075
40,,299
41,,49
42,,1128
43,,474
44,,692
45,,1657
46,,1085
47,,1985
48,,486
49,,357
50,,202
51,,1644
52,,356
53,,664
54,,1734
55,,1286
56,,1642
57,,414
58,,1107
59,,438
60,,1795
61,,1902
62,,1793
63,,1982
64,,1832
65,,649
66,,221
67,,21
68,,1838
69,,108
70,,1559
71,,1280
72,,1009
73,,1247
74,,417
75,,1446
76,,546
77,,1213
78,,916
79,,548
80,,1010
81,,200
82,,1995
83,,1728
84,,40
85,,724
86,,1691
87,,1017
88,,1543
89,,1188
90,,332
91,,1146
92,,540
93,,1101
94,,1337
95,,865
96,,551
97,,1581
98,,221
99,,936
100,,1383
101,,1048
102,133.0,161
103,264.0,279
104,362.0,879
105,490.0,195
106,373.0,1713
107,151.0,1001
108,208.0,1877
109,333.0,457
110,23.0,1662
111,480.0,590
112,421.0,1582
113,433.0,985
114,279.0,1114
115,199.0,741
116,418.0,750
117,404.0,753
118,282.0,855
119,176.0,106
120,56.0,54
121,352.0,681
122,260.0,1156
123,101.0,1079
124,412.0,1870
125,111.0,121
126,210.0,1913
127,231.0,1872
128,394.0,671
129,67.0,1145
130,35.0,185
131,104.0,456
132,150.0,373
133,482.0,1805
134,323.0,713
135,195.0,1997
136,335.0,841
137,466.0,1037
138,2.0,1251
139,465.0,1233
140,319.0,827
141,273.0,1650
142,321.0,484
143,199.0,1810
144,499.0,1891
145,117.0,1454
146,222.0,350
147,70.0,610
148,107.0,1347
149,191.0,1441
150,363.0,1842
151,10.0,294
152,298.0,812
153,219.0,970
154,393.0,1249
155,77.0,410
156,484.0,1115
157,139.0,1474
158,415.0,53
159,147.0,1640
160,207.0,1558
161,429.0,1243
162,411.0,56
163,24.0,673
164,144.0,1172
165,437.0,642
166,301.0,226
167,61.0,113
168,268.0,1131
169,36.0,1604
170,296.0,1397
171,101.0,1139
172,107.0,1566
173,82.0,113
174,67.0,646
175,436.0,707
176,19.0,960
177,261.0,38
178,152.0,538
179,83.0,265
180,461.0,1826
181,134.0,1378
182,205.0,1453
183,460.0,555
184,228.0,361
185,394.0,1609
186,55.0,1555
187,70.0,1030
188,367.0,992
189,228.0,1817
190,335.0,1205
191,75.0,248
192,266.0,1533
193,392.0,1906
194,100.0,1180
195,389.0,1227
196,89.0,391
197,43.0,1428
198,142.0,1066
199,370.0,989
200,339.0,334
201,391.0,1652
202,162.0,469
203,412.0,791
204,103.0,1200
205,8.0,1926
206,396.0,987
207,311.0,626
208,56.0,887
209,227.0,876
210,356.0,1719
211,178.0,430
212,168.0,197
213,81.0,1767
214,306.0,1994
215,156.0,503
216,33.0,113
217,205.0,1819
218,391.0,1182
219,245.0,1320
220,380.0,941
221,227.0,301
222,82.0,188
223,439.0,143
224,18.0,299
225,128.0,1296
226,455.0,1321
227,385.0,1159
228,101.0,1220
229,362.0,1316
230,13.0,1017
231,22.0,788
232,258.0,1224
233,328.0,118
234,86.0,256
235,147.0,1029
236,56.0,1570
237,159.0,422
238,346.0,321
239,218.0,139
240,170.0,180
241,324.0,228
242,288.0,782
243,461.0,1331
244,92.0,1771
245,109.0,1315
246,350.0,1612
247,284.0,1766
248,194.0,208
249,262.0,363
250,435.0,1002
251,51.0,1457
252,300.0,432
253,252.0,620
254,182.0,1833
255,425.0,460
256,113.0,893
257,481.0,1757
258,21.0,277
259,265.0,1351
260,349.0,1906
261,115.0,1575
262,61.0,753
263,495.0,1801
264,435.0,145
265,446.0,1944
266,41.0,1068
267,68.0,80
268,97.0,223
269,145.0,1068
270,315.0,90
271,162.0,1438
272,151.0,390
273,270.0,1127
274,372.0,408
275,490.0,1295
276,17.0,10
277,261.0,1752
278,377.0,38
279,494.0,1514
280,407.0,1626
281,182.0,965
282,9.0,595
283,268.0,828
284,78.0,1322
285,409.0,899
286,385.0,1423
287,91.0,904
288,77.0,312
