id_producto,categoria,stock,precio_web
PROD_0001,Tecnología,45,12500.5
PROD_0002,Moda,120,450.0
PROD_0003,Hogar,30,2300.99
PROD_0004,Alimentos,250,85.5
PROD_0005,Tecnología,,5400.0
PROD_0006,Moda,85,1200.0
PROD_0007,Hogar,15,3500.5
PROD_0008,Alimentos,400,
PROD_0009,Tecnología,12,28000.0
PROD_0010,Moda,140,320.0
PROD_0011,Hogar,55,1850.0
PROD_0012,Alimentos,180,45.0
PROD_0013,Tecnología,60,8999.9
PROD_0014,Moda,,750.0
PROD_0015,Hogar,42,4200.0
PROD_0016,Alimentos,310,120.0
PROD_0017,Tecnología,8,15600.0
PROD_0018,Moda,95,980.0
PROD_0019,Hogar,,2100.0
PROD_0020,Alimentos,150,65.0
PROD_0021,Tecnología,70,3400.0
PROD_0022,Moda,200,199.99
PROD_0023,Hogar,65,1100.0
PROD_0024,Alimentos,500,25.5
PROD_0025,Tecnología,22,19500.0
PROD_0026,Moda,110,650.0
PROD_0027,Hogar,28,4999.9
PROD_0028,Alimentos,220,95.0
PROD_0029,Tecnología,35,
PROD_0030,Moda,160,280.0
PROD_0031,Hogar,48,1650.0
PROD_0032,Alimentos,130,55.0
PROD_0033,Tecnología,50,7200.0
PROD_0034,Moda,75,1450.0
PROD_0035,Hogar,33,3800.0
PROD_0036,Alimentos,290,110.0
PROD_0037,Tecnología,,11500.0
PROD_0038,Moda,105,850.0
PROD_0039,Hogar,52,2750.0
PROD_0040,Alimentos,190,40.0
PROD_0005,Tecnología,,5400.0
PROD_0041,Tecnología,90,1650.0
PROD_0042,Moda,210,180.0
PROD_0043,Hogar,75,950.0
PROD_0044,Alimentos,480,18.0
PROD_0045,Tecnología,18,21000.0
PROD_0046,Moda,115,700.0
PROD_0047,Hogar,24,5400.0
PROD_0048,Alimentos,240,105.0
PROD_0049,Tecnología,40,6800.0
PROD_0050,Moda,170,250.0
PROD_0051,Hogar,44,1999.9
PROD_0052,Alimentos,140,60.0
PROD_0053,Tecnología,55,7900.0
PROD_0054,Moda,80,1350.0
PROD_0055,Hogar,38,3100.0
PROD_0056,Alimentos,320,130.0
PROD_0057,Tecnología,14,13400.0
PROD_0058,Moda,125,500.0
PROD_0059,Hogar,60,2400.0
PROD_0060,Alimentos,170,50.0
PROD_0061,Tecnología,65,9500.0
PROD_0062,Moda,,800.0
PROD_0063,Hogar,40,4600.0
PROD_0064,Alimentos,300,115.0
PROD_0065,Tecnología,6,17800.0
PROD_0066,Moda,100,920.0
PROD_0067,Hogar,,2350.0
PROD_0068,Alimentos,160,70.0
PROD_0069,Tecnología,75,3100.0
PROD_0013,Tecnología,60,8999.9
PROD_0070,Moda,190,220.0
PROD_0071,Hogar,70,1250.0
PROD_0072,Alimentos,520,22.0
PROD_0073,Tecnología,20,18900.0
PROD_0074,Moda,120,600.0
PROD_0075,Hogar,26,4800.0
PROD_0076,Alimentos,210,85.0
PROD_0077,Tecnología,32,
PROD_0078,Moda,150,300.0
PROD_0079,Hogar,46,1700.0
PROD_0080,Alimentos,120,48.0
PROD_0081,Tecnología,48,7500.0
PROD_0082,Moda,70,1500.0
PROD_0083,Hogar,35,3900.0
PROD_0084,Alimentos,280,125.0
PROD_0085,Tecnología,,12000.0
PROD_0086,Moda,102,890.0
PROD_0087,Hogar,50,2900.0
PROD_0088,Alimentos,195,42.0
PROD_0089,Tecnología,85,1500.0
PROD_0090,Moda,220,175.0
PROD_0032,Alimentos,130,55.0
PROD_0091,Hogar,80,900.0
PROD_0092,Alimentos,450,20.0
PROD_0093,Tecnología,16,22000.0
PROD_0094,Moda,108,720.0
PROD_0095,Hogar,22,5600.0
PROD_0096,Alimentos,230,110.0
PROD_0045,Tecnología,18,21000.0
