id_transaccion,id_cliente,monto,fecha,id_tienda
1,189,144,2023-02-11 14:41:00,8
2,250,3413,2023-04-22 22:19:00,6
3,113,496,2023-12-27 02:37:00,1
4,133,2411,2023-06-09 04:12:00,3
5,277,171,2023-11-03 05:43:00,8
6,258,3800,2023-07-10 21:27:00,10
7,272,3426,2023-04-24 10:25:00,5
8,260,4234,2023-06-14 16:53:00,5
9,115,2156,2023-10-14 02:07:00,10
10,245,2885,2023-03-10 21:39:00,6
11,122,4093,2023-03-17 19:48:00,2
12,272,62,2023-06-25 05:02:00,9
13,131,4793,2023-07-23 01:53:00,5
14,290,2554,2023-09-25 06:39:00,2
15,111,3814,2023-07-03 16:09:00,9
16,262,4642,2023-03-05 01:51:00,10
17,226,3877,2023-09-21 14:46:00,2
18,179,2356,2023-05-01 00:03:00,8
19,201,2810,2023-06-26 20:49:00,6
20,228,3801,2023-12-01 01:43:00,5
21,128,364,2023-10-18 20:58:00,1
22,140,3558,2023-06-12 15:40:00,9
23,194,4291,2023-01-07 15:40:00,4
24,144,3438,2023-04-23 13:01:00,5
25,221,2138,2023-02-15 19:38:00,1
26,113,1829,2023-06-09 20:26:00,7
27,234,2382,2023-03-12 20:19:00,9
28,298,2365,2023-04-27 22:31:00,6
29,145,1763,2023-05-21 12:18:00,8
30,259,2328,2023-02-09 10:34:00,7
31,136,4978,2023-04-26 20:27:00,5
32,123,4794,2023-09-26 05:47:00,6
33,117,3146,2023-11-06 23:44:00,7
34,277,1394,2023-04-14 23:59:00,7
35,103,4600,2023-12-16 23:48:00,10
36,108,169,2023-01-04 00:41:00,8
37,123,1477,2023-06-29 20:27:00,4
38,199,2720,2023-10-31 23:37:00,3
39,257,1740,2023-04-18 04:10:00,4
40,137,4648,2023-06-22 16:28:00,7
41,105,3583,2023-01-24 18:35:00,1
42,245,4177,2023-12-04 19:38:00,9
43,252,2649,2023-08-22 17:41:00,3
44,173,4485,2023-03-10 02:59:00,10
45,102,1163,2023-03-14 23:19:00,4
46,134,1952,2023-02-13 17:49:00,5
47,203,2753,2023-12-28 00:31:00,7
48,108,3385,2023-06-10 21:21:00,7
49,278,1203,2023-06-19 03:39:00,1
50,204,171,2023-06-05 17:53:00,8
51,295,4160,2023-01-31 15:42:00,1
52,209,1539,2023-02-04 10:32:00,1
53,285,72,2023-05-01 03:42:00,1
54,188,4532,2023-08-23 19:32:00,8
55,204,3672,2023-10-01 23:39:00,6
56,276,1630,2023-05-04 22:05:00,7
57,106,4743,2023-04-04 22:14:00,9
58,297,3854,2023-07-14 02:56:00,3
59,181,4267,2023-06-01 23:43:00,1
60,170,1102,2023-02-27 15:21:00,10
61,294,2947,2023-09-12 17:21:00,7
62,276,1146,2023-08-31 02:23:00,4
63,228,856,2023-06-26 00:45:00,3
64,236,4970,2023-01-13 03:10:00,9
65,283,4302,2023-05-05 21:38:00,10
66,120,746,2023-05-11 21:55:00,4
67,132,2501,2023-03-30 11:28:00,7
68,276,3160,2023-08-18 02:21:00,1
69,196,2348,2023-10-16 23:31:00,8
70,259,938,2023-01-26 09:58:00,3
71,285,2362,2023-05-24 14:01:00,10
72,208,1492,2023-09-14 14:41:00,10
73,217,2272,2023-03-18 20:42:00,4
74,227,246,2023-01-30 08:57:00,2
75,286,1524,2023-09-13 02:13:00,10
76,146,265,2023-03-25 05:33:00,10
77,254,4251,2023-06-26 14:52:00,10
78,271,2991,2023-04-15 18:33:00,7
79,294,3834,2023-05-02 00:14:00,8
80,161,2477,2023-09-07 01:47:00,7
81,259,4341,2023-07-20 17:04:00,1
82,158,1726,2023-02-26 15:35:00,3
83,292,1873,2023-10-22 21:54:00,5
84,134,2436,2023-07-15 14:18:00,9
85,230,1188,2023-04-25 13:32:00,3
86,117,247,2023-11-17 06:40:00,2
87,143,3846,2023-07-17 16:13:00,6
88,179,4183,2023-07-13 09:12:00,3
89,122,904,2023-04-07 00:18:00,4
90,285,329,2023-08-28 20:00:00,6
91,174,2802,2023-12-31 16:03:00,5
92,206,780,2023-06-26 09:39:00,5
93,109,4446,2023-12-11 09:53:00,5
94,162,3434,2023-04-06 08:35:00,9
95,222,247,2023-06-08 08:01:00,8
96,156,2907,2023-12-14 01:49:00,2
97,122,1910,2023-05-15 06:43:00,9
98,257,2816,2023-11-19 08:38:00,10
99,122,3465,2023-12-05 21:35:00,7
100,264,2352,2023-03-16 19:22:00,8
101,288,438,2023-12-23 14:06:00,5
102,157,558,2023-09-07 04:52:00,10
103,191,1714,2023-12-11 05:34:00,1
104,184,1548,2023-09-27 11:16:00,9
105,262,4597,2023-05-07 20:33:00,9
106,241,4983,2023-11-03 11:45:00,6
107,177,2204,2023-05-27 22:28:00,7
108,174,115,2023-03-03 22:13:00,8
109,214,4145,2023-02-02 15:24:00,2
110,213,850,2023-09-15 11:27:00,4
111,212,1723,2023-08-06 15:04:00,1
112,102,3674,2023-11-12 18:39:00,7
113,273,2785,2023-01-06 15:24:00,3
114,148,3658,2023-10-16 14:44:00,7
115,270,4982,2023-11-13 21:06:00,3
116,264,4912,2023-08-14 14:20:00,3
117,139,188,2023-05-31 21:25:00,8
118,211,99,2023-12-30 06:10:00,4
119,253,3096,2023-01-14 08:45:00,10
120,217,162,2023-08-02 15:37:00,10
121,135,2623,2023-07-24 18:37:00,7
122,200,4746,2023-09-26 21:00:00,6
123,228,4895,2023-12-08 14:36:00,3
124,236,2144,2023-12-25 13:35:00,1
125,214,4821,2023-08-03 09:08:00,8
126,266,3589,2023-06-16 07:52:00,4
127,207,766,2023-08-24 19:51:00,6
128,251,2656,2023-06-09 08:25:00,9
