id_producto,producto_web,precio_web,disponibilidad_web,rating_web,fuente_web
1,Producto web demo 1,103.75,In stock,Two,Demo local
2,Producto web demo 2,107.5,In stock,Three,Demo local
3,Producto web demo 3,111.25,In stock,Four,Demo local
4,Producto web demo 4,115.0,In stock,Five,Demo local
5,Producto web demo 5,118.75,In stock,One,Demo local
6,Producto web demo 6,122.5,In stock,Two,Demo local
7,Producto web demo 7,126.25,In stock,Three,Demo local
8,Producto web demo 8,130.0,In stock,Four,Demo local
9,Producto web demo 9,133.75,In stock,Five,Demo local
10,Producto web demo 10,137.5,In stock,One,Demo local
11,Producto web demo 11,141.25,In stock,Two,Demo local
12,Producto web demo 12,145.0,In stock,Three,Demo local
13,Producto web demo 13,148.75,In stock,Four,Demo local
14,Producto web demo 14,152.5,In stock,Five,Demo local
15,Producto web demo 15,156.25,In stock,One,Demo local
16,Producto web demo 16,160.0,In stock,Two,Demo local
17,Producto web demo 17,163.75,In stock,Three,Demo local
18,Producto web demo 18,167.5,In stock,Four,Demo local
19,Producto web demo 19,171.25,In stock,Five,Demo local
20,Producto web demo 20,175.0,In stock,One,Demo local
21,Producto web demo 21,178.75,In stock,Two,Demo local
22,Producto web demo 22,182.5,In stock,Three,Demo local
23,Producto web demo 23,186.25,In stock,Four,Demo local
24,Producto web demo 24,190.0,In stock,Five,Demo local
25,Producto web demo 25,193.75,In stock,One,Demo local
26,Producto web demo 26,197.5,In stock,Two,Demo local
27,Producto web demo 27,201.25,In stock,Three,Demo local
28,Producto web demo 28,205.0,In stock,Four,Demo local
29,Producto web demo 29,208.75,In stock,Five,Demo local
30,Producto web demo 30,212.5,In stock,One,Demo local
31,Producto web demo 31,216.25,In stock,Two,Demo local
32,Producto web demo 32,220.0,In stock,Three,Demo local
33,Producto web demo 33,223.75,In stock,Four,Demo local
34,Producto web demo 34,227.5,In stock,Five,Demo local
35,Producto web demo 35,231.25,In stock,One,Demo local
36,Producto web demo 36,235.0,In stock,Two,Demo local
37,Producto web demo 37,238.75,In stock,Three,Demo local
38,Producto web demo 38,242.5,In stock,Four,Demo local
39,Producto web demo 39,246.25,In stock,Five,Demo local
40,Producto web demo 40,250.0,In stock,One,Demo local
41,Producto web demo 41,253.75,In stock,Two,Demo local
42,Producto web demo 42,257.5,In stock,Three,Demo local
43,Producto web demo 43,261.25,In stock,Four,Demo local
44,Producto web demo 44,265.0,In stock,Five,Demo local
45,Producto web demo 45,268.75,In stock,One,Demo local
46,Producto web demo 46,272.5,In stock,Two,Demo local
47,Producto web demo 47,276.25,In stock,Three,Demo local
48,Producto web demo 48,280.0,In stock,Four,Demo local
49,Producto web demo 49,283.75,In stock,Five,Demo local
50,Producto web demo 50,287.5,In stock,One,Demo local
51,Producto web demo 51,291.25,In stock,Two,Demo local
52,Producto web demo 52,295.0,In stock,Three,Demo local
53,Producto web demo 53,298.75,In stock,Four,Demo local
54,Producto web demo 54,302.5,In stock,Five,Demo local
55,Producto web demo 55,306.25,In stock,One,Demo local
56,Producto web demo 56,310.0,In stock,Two,Demo local
57,Producto web demo 57,313.75,In stock,Three,Demo local
58,Producto web demo 58,317.5,In stock,Four,Demo local
59,Producto web demo 59,321.25,In stock,Five,Demo local
60,Producto web demo 60,325.0,In stock,One,Demo local
