id_transaccion,id_cliente,id_producto,monto,fecha,id_tienda,edad,ingresos,puntos_lealtad,pais,cliente_premium,categoria_monto,stock,precio,estado_stock,utilidad_estimada,registros_api,ultimo_registro_api,fuente_api,producto_web,precio_web,disponibilidad_web,rating_web,fuente_web,logs_total,logs_error,logs_timeout,tiempo_promedio_ms,origen_integrado
1,956,1,4970,2025-12-21,9,47,23801,1725,México,Sí,Alto,0,286.0,Sin stock,4684.0,0,0,Sin API,Producto web demo 1,103.75,In stock,Two,Demo local,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
2,884,2,2706,2025-12-10,4,58,28625,1412,USA,Sí,Alto,0,297.0,Sin stock,2409.0,0,0,Sin API,Producto web demo 2,107.5,In stock,Three,Demo local,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
3,540,3,1410,2025-09-23,8,59,39690,2249,México,Sí,Medio,0,301.0,Sin stock,1109.0,0,0,Sin API,Producto web demo 3,111.25,In stock,Four,Demo local,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
4,955,4,3826,2026-02-17,2,29,29557,1971,México,Sí,Alto,0,310.0,Sin stock,3516.0,0,0,Sin API,Producto web demo 4,115.0,In stock,Five,Demo local,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
5,736,5,4525,2025-10-28,3,41,41472,2195,México,Sí,Alto,0,757.0,Sin stock,3768.0,0,0,Sin API,Producto web demo 5,118.75,In stock,One,Demo local,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
6,253,6,634,2025-07-05,1,62,28540,2977,México,Sí,Medio,0,747.0,Sin stock,-113.0,0,0,Sin API,Producto web demo 6,122.5,In stock,Two,Demo local,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
7,570,7,1531,2026-03-03,9,23,30514,1878,México,Sí,Medio,0,903.0,Sin stock,628.0,0,0,Sin API,Producto web demo 7,126.25,In stock,Three,Demo local,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
8,230,8,1633,2025-12-21,4,22,17157,985,USA,No,Medio,0,1878.0,Sin stock,-245.0,0,0,Sin API,Producto web demo 8,130.0,In stock,Four,Demo local,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
9,667,9,1750,2026-03-04,9,18,22747,1138,México,Sí,Medio,0,388.0,Sin stock,1362.0,0,0,Sin API,Producto web demo 9,133.75,In stock,Five,Demo local,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
10,774,10,1389,2025-07-20,3,55,40030,1635,México,Sí,Medio,0,294.0,Sin stock,1095.0,0,0,Sin API,Producto web demo 10,137.5,In stock,One,Demo local,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
11,193,11,4314,2026-04-19,7,58,48641,1943,México,Sí,Alto,0,1096.0,Sin stock,3218.0,0,0,Sin API,Producto web demo 11,141.25,In stock,Two,Demo local,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
12,597,12,2720,2026-01-18,7,33,37995,77,México,No,Alto,0,1784.0,Sin stock,936.0,0,0,Sin API,Producto web demo 12,145.0,In stock,Three,Demo local,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
13,733,13,3575,2025-10-04,9,49,30426,2645,México,Sí,Alto,0,54.0,Sin stock,3521.0,0,0,Sin API,Producto web demo 13,148.75,In stock,Four,Demo local,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
14,799,14,4540,2025-06-03,2,48,36992,451,México,No,Alto,0,314.0,Sin stock,4226.0,0,0,Sin API,Producto web demo 14,152.5,In stock,Five,Demo local,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
15,217,15,1232,2026-02-12,1,32,46078,1055,México,Sí,Medio,0,930.0,Sin stock,302.0,0,0,Sin API,Producto web demo 15,156.25,In stock,One,Demo local,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
16,979,16,3325,2025-08-27,6,33,14416,1590,México,Sí,Alto,0,1185.0,Sin stock,2140.0,0,0,Sin API,Producto web demo 16,160.0,In stock,Two,Demo local,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
17,815,17,2467,2025-12-18,3,48,43440,478,México,No,Alto,0,1780.0,Sin stock,687.0,0,0,Sin API,Producto web demo 17,163.75,In stock,Three,Demo local,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
18,971,18,2176,2026-05-02,10,48,36048,1156,México,Sí,Alto,0,391.0,Sin stock,1785.0,0,0,Sin API,Producto web demo 18,167.5,In stock,Four,Demo local,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
19,63,19,2405,2025-09-04,1,36,14174,2466,México,Sí,Alto,0,1807.0,Sin stock,598.0,1,62,Demo local,Producto web demo 19,171.25,In stock,Five,Demo local,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
20,946,20,3144,2025-11-17,10,34,23068,2117,México,Sí,Alto,0,1855.0,Sin stock,1289.0,0,0,Sin API,Producto web demo 20,175.0,In stock,One,Demo local,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
21,129,21,3066,2026-01-26,9,23,11160,1445,USA,Sí,Alto,0,31.0,Sin stock,3035.0,0,0,Sin API,Producto web demo 21,178.75,In stock,Two,Demo local,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
22,261,22,647,2025-09-23,5,50,8961,137,México,No,Medio,0,1592.0,Sin stock,-945.0,0,0,Sin API,Producto web demo 22,182.5,In stock,Three,Demo local,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
23,54,23,1475,2025-08-18,8,38,35650,2470,México,Sí,Medio,0,312.0,Sin stock,1163.0,1,53,Demo local,Producto web demo 23,186.25,In stock,Four,Demo local,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
24,554,24,4407,2026-01-26,7,27,17733,2357,México,Sí,Alto,0,1684.0,Sin stock,2723.0,0,0,Sin API,Producto web demo 24,190.0,In stock,Five,Demo local,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
25,259,25,2842,2026-03-01,2,52,7067,2006,México,Sí,Alto,0,1495.0,Sin stock,1347.0,0,0,Sin API,Producto web demo 25,193.75,In stock,One,Demo local,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
26,47,26,2144,2026-03-02,1,65,44895,2425,México,Sí,Alto,0,1520.0,Sin stock,624.0,1,46,Demo local,Producto web demo 26,197.5,In stock,Two,Demo local,2000.0,681.0,650.0,405.71,CSV + JSON + TXT + API REST + Web Scraping
